"M2"	"M21"	"M5"	"M24"	"M3"	"M18"	"M23"	"M13"	"M16"	"M10"	"M6"	"M8"	"M14"	"M15"	"M11"	"M1"	"M22"	"M26"	"Sample"	"Isolate"	"DPI"	"Stage"	"Replicate"
"Zt10_Ta_C_01"	-0.105452984343758	-0.0209870628845699	0.101833685285944	0.0788905485171194	0.162858667358853	0.107623399512442	0.101930012134072	0.152922731166422	0.102359416241123	0.0416207364702625	0.0588909941055673	0.10104845742934	0.0862083209389621	0.0881398731839586	-0.113521950937264	0.00816273690672331	0.0914806781674113	-0.0520305890488392	"Zt10_C_01"	"Zt10"	15	"C"	1
"Zt10_Ta_C_02"	-0.136740164438843	-0.0913851262854979	0.0111205620061255	0.053247352181687	0.123054999017347	0.133383468395801	0.0639524694275279	0.0811498113296409	0.0751968727076604	-0.000991799863799337	0.0189294701448314	0.0633128318113102	0.0665291785071169	0.0474000039374365	-0.0324951159418947	0.00614052541285471	0.108074560468514	0.00917755264899716	"Zt10_C_02"	"Zt10"	15	"C"	2
"Zt10_Ta_D_01"	-0.0941739343576788	0.0398286698407619	0.114172440540786	0.0635976191163089	0.134259186787272	0.108838104099072	0.0816755453782638	0.049742980866684	0.0504301739684702	0.0500890740437056	0.0327076194441292	0.0732685737412034	0.0668336948971126	0.0633210322696215	-0.0573203586467931	-0.072621116001622	0.0305044471047389	-0.0910864587744413	"Zt10_D_01"	"Zt10"	18	"D"	1
"Zt10_Ta_D_02"	-0.112084245511885	0.0378942891988386	0.107236573696445	0.0548659548958545	0.127435001030359	0.1285503229193	0.0707067600035099	0.00657295937850475	0.0327707323492231	0.0356290021388956	0.0162913678607776	0.056588367337796	0.0623362084067735	0.0450749440675436	-0.0246952835778	-0.0906423089714002	0.0317405757220644	-0.0668936667768449	"Zt10_D_02"	"Zt10"	18	"D"	2
"X3D1.1.7d"	-0.0231775217039511	0.024905126043838	-0.212442279884433	-0.0135168643475944	-0.210345633571968	-0.0115748397546175	-0.103762004517999	-0.255517431586431	-0.766543700822976	-0.83342364998068	-0.32180454458683	-0.397507640181984	-0.379174246480239	-0.343939443822218	0.274592930535811	-0.12741903886519	0.0273586383321262	0.174424779607776	"X3D1.1.7d"	"X3D1"	7	"A"	1
"X3D1.2.7d"	-0.0498689012843443	-0.014481055219438	-0.21646922299037	0.0193344821547675	-0.213152698290267	-0.0414851925003875	-0.0811026162581609	-0.213457692492677	-0.147192143844977	-0.240704022278449	-0.0308659860764049	-0.0231682517317188	-0.361127147062926	-0.580785760368652	0.221439477731365	-0.0129089916629229	-0.0161090243994483	0.154295903727198	"X3D1.2.7d"	"X3D1"	7	"A"	2
"X3D1.3.7d"	-0.0596140190350091	-0.0150634566669035	-0.20712835300127	0.0234272276954434	-0.190313494318638	-0.00144338995434905	-0.0632159246751154	-0.206772522507129	-0.0575901906458672	-0.0869092196670502	-0.0783806269285807	-0.686959690420879	-0.349378534894279	-0.310578362707879	0.279047949961835	0.0253839859936192	0.0163550139975967	0.214967029876255	"X3D1.3.7d"	"X3D1"	7	"A"	3
"X3D1.2.12d"	0.0124897597339018	-0.0770519444451071	-0.177604427148673	0.0525000094828594	-0.158630218800341	-0.0257008608144251	-0.0267009357408181	-0.070852064715875	-0.0134338937772339	-0.0555868110410665	-0.0599214395463613	-0.0595498026588897	-0.297680465449027	-0.0738717908456937	0.0947031212099382	0.157373773409841	0.0403534936623686	0.0752708984692594	"X3D1.2.12d"	"X3D1"	12	"B"	1
"X3D1.5.12d"	-0.0389052921094115	-0.00830559211884982	-0.209437402897317	-0.0132747215088152	-0.275329351395096	0.0103974485323536	-0.0439427881066155	-0.183898004130182	-0.00726152108524388	-0.00521601947689727	-0.860747173677479	-0.300168691036216	-0.266177597166044	-0.466239671593296	0.258332187017662	0.0245064215333361	0.000555098090289577	0.123137283115748	"X3D1.5.12d"	"X3D1"	12	"B"	2
"X3D1.8.12d"	0.0528198415626323	-0.183420864795737	-0.165977608932622	0.0310712997226916	-0.0994499003108018	-0.0699546309517452	0.0376165784982443	-0.0340941816241074	0.0529677678954985	-0.00458374329436193	-0.00220291037900241	0.0376957375055747	-0.250734146802326	-0.00818930530968606	-0.106150179959333	0.220112716833193	0.0699824858171469	-0.0332915643612308	"X3D1.8.12d"	"X3D1"	12	"B"	3
"X3D1.7.14d"	0.0649226773354185	-0.114160315230232	-0.142883152582883	0.0635072710019773	-0.116737508281791	-0.0880253987471005	0.0485589066555208	0.0723112735928317	0.023338796545201	-0.00617438365889827	-0.00138483318885627	0.00167797433812235	-0.226378207153791	-0.0216696463586229	-0.0345728757586152	0.180650845494548	0.0205060748181603	0.00617722370448582	"X3D1.7.14d"	"X3D1"	14	"C"	1
